"Risk_ID,Sector,PM_Methodology,Version,RMS_Stage,PM_Process_Group,Risk_Title,Risk_Description,Risk_Type,Root_Cause,Source,Likelihood,Impact,Score,Probability_%,Cost_Impact_AED,Priority,Response_Strategy,Mitigation_Actions,Owner,Review_Status,Review_Date,QA_Reviewer,Reference_Link,Recommender_Tag,Audit_Trail_Notes,Flag_Status"
"R094,IT Support and Delivery,Agile,1.0,Risk Response Planning,Execution,Escalation SOP Absence,No standard escalation procedure,Governance,No documented SOP,Internal,Medium,High,20,70,9000,Medium,Mitigate,Escalation SOP creation,Support Manager,Open,2026-02-13,QA Lead,,Escalation Risk,Pending QA,Pending QA"
"R095,IT Support and Delivery,Agile,1.0,Risk Response Planning,Execution,Change Rollback Failure,No rollback plan for failed deployments,Governance,No rollback checklist,Internal,High,High,25,85,15000,High,Mitigate,Change rollback SOP,IT Lead,Open,2026-02-14,QA Lead,,Change Risk,Escalated,Pending QA"
"R096,IT Support and Delivery,Agile,1.0,Risk Response Planning,Execution,KB Update Delay,No schedule for KB updates,QA,No update cadence,Internal,Medium,Medium,16,60,5000,Medium,Mitigate,KB update calendar,Support Analyst,In Progress,2026-02-15,QA Lead,,KB Risk,Pending QA,Pending QA"
"R097,IT Support and Delivery,Agile,1.0,Risk Response Planning,Execution,User Intake SOP Gap,No standard for issue intake,Operational,No intake SOP,External,Medium,Medium,16,55,4000,Medium,Mitigate,User intake SOP,Support Lead,Open,2026-02-16,QA Lead,,User Risk,Needs monitoring,Pending QA"
"R098,IT Support and Delivery,Agile,1.0,Risk Response Planning,Execution,Tool Downtime Response Delay,No immediate action plan for outages,Technical,No outage SOP,Internal,High,Medium,20,75,10000,High,Mitigate,Outage response SOP,IT Admin,Open,2026-02-17,QA Lead,,Tool Risk,Escalated,Pending QA"
"R099,IT Support and Delivery,Agile,1.0,Risk Response Planning,Execution,Access Rights Correction Delay,No protocol for permission errors,Security,No correction workflow,Internal,Medium,High,20,70,6000,Medium,Mitigate,Access correction SOP,Security Officer,Open,2026-02-18,QA Lead,,Security Risk,Pending QA,Pending QA"
"R100,IT Support and Delivery,Agile,1.0,Risk Response Planning,Execution,Channel Routing Failure,No fallback for misrouted support requests,Governance,No rerouting protocol,External,Medium,Medium,16,60,5000,Medium,Mitigate,Channel rerouting SOP,Support Manager,Open,2026-02-19,QA Lead,,Channel Risk,Needs clarification,Pending QA"
"R101,IT Support and Delivery,Agile,1.0,Risk Monitoring & Control,Monitoring & Controlling,SLA Compliance Tracking Risk,No real-time SLA monitoring,Operational,No SLA dashboard,Internal,High,High,25,85,10000,High,Mitigate,Implement SLA dashboard,Support Manager,Open,2026-02-20,QA Lead,,SLA Risk,Escalated,Pending QA"
"R102,IT Support and Delivery,Agile,1.0,Risk Monitoring & Control,Monitoring & Controlling,Backlog Trend Blind Spot,No visibility into backlog growth,Operational,No backlog analytics,Internal,Medium,High,20,70,8000,Medium,Mitigate,Backlog trend report,Support Lead,Open,2026-02-21,QA Lead,,Backlog Risk,Pending QA,Pending QA"
"R103,IT Support and Delivery,Agile,1.0,Risk Monitoring & Control,Monitoring & Controlling,Remote Access Monitoring Gap,VPN uptime not tracked,Technical,No uptime logs,Internal,High,Medium,20,75,12000,High,Mitigate,VPN uptime dashboard,IT Admin,Open,2026-02-22,QA Lead,,Access Risk,Needs review,Pending QA"
"R104,IT Support and Delivery,Agile,1.0,Risk Monitoring & Control,Monitoring & Controlling,Escalation SLA Drift,Escalation timelines not monitored,Governance,No escalation tracking,Internal,Medium,High,20,70,9000,Medium,Mitigate,Escalation SLA tracker,Support Manager,Open,2026-02-23,QA Lead,,Escalation Risk,Pending QA,Pending QA"
"R105,IT Support and Delivery,Agile,1.0,Risk Monitoring & Control,Monitoring & Controlling,Change Impact Oversight,No tracking of change outcomes,Governance,No change impact logs,Internal,High,High,25,85,15000,High,Mitigate,Change impact tracker,IT Lead,Open,2026-02-24,QA Lead,,Change Risk,Escalated,Pending QA"
"R106,IT Support and Delivery,Agile,1.0,Risk Monitoring & Control,Monitoring & Controlling,KB Engagement Monitoring Risk,No metrics on KB usage,QA,No engagement dashboard,Internal,Medium,Medium,16,60,5000,Medium,Mitigate,KB usage tracker,Support Analyst,In Progress,2026-02-25,QA Lead,,KB Risk,Pending QA,Pending QA"
"R107,IT Support and Delivery,Agile,1.0,Risk Monitoring & Control,Monitoring & Controlling,User Intake Quality Drift,No monitoring of intake accuracy,Operational,No intake QA process,External,Medium,Medium,16,55,4000,Medium,Mitigate,Intake QA checklist,Support Lead,Open,2026-02-26,QA Lead,,User Risk,Needs monitoring,Pending QA"
"R108,IT Support and Delivery,Agile,1.0,Risk Monitoring & Control,Monitoring & Controlling,Tool Downtime Oversight,No tracking of support tool outages,Technical,No downtime logs,Internal,High,Medium,20,75,10000,High,Mitigate,Downtime log system,IT Admin,Open,2026-02-27,QA Lead,,Tool Risk,Escalated,Pending QA"
"R109,IT Support and Delivery,Agile,1.0,Risk Monitoring & Control,Monitoring & Controlling,Access Rights Audit Gap,No periodic review of permissions,Security,No audit schedule,Internal,Medium,High,20,70,6000,Medium,Mitigate,Access audit calendar,Security Officer,Open,2026-02-28,QA Lead,,Security Risk,Pending QA,Pending QA"
"R110,IT Support and Delivery,Agile,1.0,Risk Monitoring & Control,Monitoring & Controlling,Channel Routing Drift,No tracking of user misrouting trends,Governance,No channel analytics,External,Medium,Medium,16,60,5000,Medium,Mitigate,Channel routing dashboard,Support Manager,Open,2026-03-01,QA Lead,,Channel Risk,Needs clarification,Pending QA"
"R111,IT Support and Delivery,Agile,1.0,Risk Documentation,Closing,SLA Closure Risk,Final SLA compliance records not archived,Governance,No closure checklist,Internal,High,High,25,85,10000,High,Mitigate,SLA closure protocol,Support Manager,Open,2026-03-02,QA Lead,,SLA Risk,Escalated,Pending QA"
"R112,IT Support and Delivery,Agile,1.0,Risk Documentation,Closing,Backlog Archive Risk,Unresolved tickets not documented,Operational,No backlog closure SOP,Internal,Medium,High,20,70,8000,Medium,Mitigate,Backlog closure checklist,Support Lead,Open,2026-03-03,QA Lead,,Backlog Risk,Pending QA,Pending QA"
"R113,IT Support and Delivery,Agile,1.0,Risk Documentation,Closing,Access Log Closure Risk,VPN access records not finalized,Technical,No access log archive,Internal,High,Medium,20,75,12000,High,Mitigate,Access log closure SOP,IT Admin,Open,2026-03-04,QA Lead,,Access Risk,Needs review,Pending QA"
"R114,IT Support and Delivery,Agile,1.0,Risk Documentation,Closing,Escalation Record Risk,Escalation history not compiled,Governance,No escalation archive,Internal,Medium,High,20,70,9000,Medium,Mitigate,Escalation record checklist,Support Manager,Open,2026-03-05,QA Lead,,Escalation Risk,Pending QA,Pending QA"
"R115,IT Support and Delivery,Agile,1.0,Risk Documentation,Closing,Change Log Closure Risk,Final change records not consolidated,Governance,No versioning protocol,Internal,High,High,25,85,15000,High,Mitigate,Change log consolidation,IT Lead,Open,2026-03-06,QA Lead,,Change Risk,Escalated,Pending QA"
"R116,IT Support and Delivery,Agile,1.0,Risk Documentation,Closing,KB Closure Risk,Knowledge base updates not finalized,QA,No closure cadence,Internal,Medium,Medium,16,60,5000,Medium,Mitigate,KB closure checklist,Support Analyst,In Progress,2026-03-07,QA Lead,,KB Risk,Pending QA,Pending QA"
"R117,IT Support and Delivery,Agile,1.0,Risk Documentation,Closing,User Intake Archive Risk,Intake records not compiled,Operational,No intake archive SOP,External,Medium,Medium,16,55,4000,Medium,Mitigate,Intake archive protocol,Support Lead,Open,2026-03-08,QA Lead,,User Risk,Needs monitoring,Pending QA"
"R118,IT Support and Delivery,Agile,1.0,Risk Documentation,Closing,Tool Downtime Log Risk,Outage records not finalized,Technical,No downtime archive,Internal,High,Medium,20,75,10000,High,Mitigate,Downtime log closure SOP,IT Admin,Open,2026-03-09,QA Lead,,Tool Risk,Escalated,Pending QA"
"R119,IT Support and Delivery,Agile,1.0,Risk Documentation,Closing,Access Rights Closure Risk,Permission changes not documented,Security,No access closure checklist,Internal,Medium,High,20,70,6000,Medium,Mitigate,Access rights closure SOP,Security Officer,Open,2026-03-10,QA Lead,,Security Risk,Pending QA,Pending QA"
"R120,IT Support and Delivery,Agile,1.0,Risk Documentation,Closing,Channel Summary Risk,Final support channel usage not summarized,Governance,No channel summary protocol,External,Medium,Medium,16,60,5000,Medium,Mitigate,Channel summary checklist,Support Manager,Open,2026-03-11,QA Lead,,Channel Risk,Needs clarification,Pending QA"
