"Risk_ID,Risk_Title,Risk_Description,Risk_Category,Sub_Category,Sector,Department_Unit,Project_Name,Project_Code,Project_Phase,Process_Group,Risk_Owner,Stakeholder_Group,Date_Identified,Probability_Rating,Impact_Rating,Risk_Score,Qualitative_Notes,Quantitative_Notes,Mitigation_Strategy,Contingency_Plan,Risk_Status,Review_Date,Monitoring_Method,Control_Method,Documentation_Link,Lessons_Learned,Source_Type,Data_Quality_Flag,RMS_Step_Primary,RMS_Step_Identification,RMS_Step_Analysis_Qualitative,RMS_Step_Analysis_Quantitative,RMS_Step_Response_Planning,RMS_Step_Monitoring,RMS_Step_Controlling,RMS_Step_Documentation"
"CS011,Data Leakage,Sensitive data shared via public channels,Cybersecurity,Data Loss Prevention,Technology,Information Security,LeakShield Project,LS-2025,Execution,Monitoring,InfoSec Lead,Marketing & Sales,2025-09-24,3,4,12,Unencrypted files sent externally,Exposure of client PII,Implement DLP tools and outbound filtering,Notify affected clients and revoke access,Open,2025-10-01,Email Scanning,DLP Tools,https://leakshield/docs/cs011,Train staff on data handling policies,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS012,IoT Vulnerability,Unpatched IoT devices exploited remotely,Cybersecurity,IoT Security,Technology,Facilities,SmartSecure Program,SS-2025,Design,Monitoring,Facilities Manager,Building Ops,2025-09-24,3,3,9,Legacy firmware detected,Devices exposed to public IPs,Patch management and network segmentation,Disable affected devices and isolate subnet,Open,2025-10-01,Device Logs,IoT Patch Policy,https://smartsecure/docs/cs012,Maintain firmware update schedule,External Threat Feed,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS013,Privilege Escalation,User gains unauthorized admin access,Cybersecurity,Identity & Access,Technology,IT Operations,AccessGuard Project,AG-2025,Execution,Controlling,Security Analyst,IT Admins,2025-09-24,3,4,12,Audit trail shows privilege escalation,Access used to modify system configs,Role-based access and privilege monitoring,Revoke elevated access"
"CS014,Privilege Escalation,User gains unauthorized admin access,Cybersecurity,Identity & Access,Technology,IT Operations,AccessGuard Project,AG-2025,Execution,Controlling,Security Analyst,IT Admins,2025-09-24,3,4,12,Audit trail shows privilege escalation,Access used to modify system configs,Role-based access and privilege monitoring,Revoke elevated access and investigate,Open,2025-10-01,Access Logs,Privilege Monitoring,https://accessguard/docs/cs014,Implement least privilege principle,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS015,Unpatched Software,Legacy systems lack security updates,Cybersecurity,Vulnerability Management,Technology,IT Infrastructure,PatchForce Program,PF-2025,Design,Monitoring,System Admin,Legacy Systems Team,2025-09-24,4,3,12,Unsupported OS detected in production,Exposure to known CVEs,Automated patch deployment and upgrade roadmap,Isolate legacy systems and restrict access,Open,2025-10-01,Patch Logs,Patch Management Tools,https://patchforce/docs/cs015,Plan phased decommissioning,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS016,Shadow IT,Unauthorized tools bypass security controls,Cybersecurity,Governance Risk,Technology,IT Governance,ToolWatch Initiative,TW-2025,Initiation,Identification,IT Governance Lead,All Departments,2025-09-24,3,3,9,Unapproved SaaS tools detected,Data leakage risk via unsanctioned apps,Implement asset discovery and approval workflows,Block unauthorized tools and notify users,Open,2025-10-01,Asset Discovery,Policy Enforcement,https://toolwatch/docs/cs016,Educate teams on approved tools,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS017,Mobile Device Risk,BYOD devices lack proper security controls,Cybersecurity,Endpoint Protection,Technology,IT Support,MobiSecure Program,MS-2025,Execution,Monitoring,IT Support Lead,Remote Workers,2025-09-24,3,4,12,Unencrypted mobile access detected,Device loss risk: 8 incidents/month,Enforce MDM and remote wipe policies,Disable access and wipe lost devices,Open,2025-10-01,MDM Logs,Mobile Security Policy,https://mobisecure/docs/cs017,Restrict BYOD access to sensitive systems,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS018,Remote Access Risk,VPN credentials reused across platforms,Cybersecurity,Identity & Access,Technology,IT Operations,SecureConnect Project,SC-2025,Execution,Controlling,Security Analyst,Remote Workforce,2025-09-24,3,4,12,Credential reuse detected in logs,Exposure to credential stuffing attacks,Enforce unique credentials and MFA,Reset credentials and monitor access logs,Open,2025-10-01,VPN Logs,MFA & Credential Policy,https://secureconnect/docs/cs018,Audit remote access quarterly,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS019,Social Media Exposure,Sensitive info shared on public platforms,Cybersecurity,Data Loss Prevention,Technology,Communications,InfoGuard Campaign,IG-2025,Monitoring,Controlling,Communications Lead,Marketing Team,2025-09-24,2,4,8,Screenshots of internal dashboards posted,Brand reputation risk,Train staff on social media policies,Request takedown and notify legal,Open,2025-10-01,Social Media Monitoring,Policy Enforcement,https://infoguard/docs/cs019,Restrict sharing of internal visuals,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS020,SIEM Misconfiguration,Security alerts not triggering properly,Cybersecurity,Monitoring Failure,Technology,Security Operations,AlertFix Initiative,AF-2025,Execution,Monitoring,Security Operations Lead,IT Security Team,2025-09-24,3,3,9,Critical alerts missed during incident,Delayed response: 6 hours,Audit SIEM rules and alert thresholds,Manual log review and escalation protocol,Open,2025-10-01,SIEM Logs,SIEM Rule Tuning,https://alertfix/docs/cs020,Test alert logic monthly,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS021,API Exposure,Unsecured API endpoints allow data scraping,Cybersecurity,Application Security,Technology,DevOps,SecureAPI Project,SA-2025,Design,Identification,DevOps Lead,External Developers,2025-09-24,3,4,12,Endpoints lack authentication controls,Data scraping detected in logs,Implement API gateway and token validation,Disable exposed endpoints and rotate keys,Open,2025-10-01,API Logs,API Gateway Controls,https://secureapi/docs/cs021,Review API access policies quarterly,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS022,Session Hijacking,User sessions intercepted via insecure cookies,Cybersecurity,Web Security,Technology,Web Development,SessionGuard Program,SG-2025,Execution,Monitoring,Web Security Lead,App Users,2025-09-24,3,4,12,Cookies lack secure and HTTPOnly flags,Session replay detected,Enforce secure cookie attributes and session timeout,Invalidate sessions and force re-authentication,Open,2025-10-01,Web Logs,Secure Cookie Policy,https://sessionguard/docs/cs022,Audit session handling practices,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS023,Unencrypted Traffic,Sensitive data transmitted over HTTP,Cybersecurity,Network Security,Technology,IT Infrastructure,EncryptNet Project,EN-2025,Execution,Monitoring,Network Engineer,All Departments,2025-09-24,3,4,12,HTTP traffic detected in production,PII exposed in transit,Enforce HTTPS and TLS policies,Block non-encrypted traffic and notify teams,Open,2025-10-01,Traffic Logs,TLS Enforcement,https://encryptnet/docs/cs023,Redirect all HTTP to HTTPS,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS024,Weak Encryption,Legacy systems use outdated crypto algorithms,Cybersecurity,Cryptography,Technology,IT Operations,CryptoUpgrade Program,CU-2025,Design,Monitoring,System Architect,Legacy Systems Team,2025-09-24,3,4,12,Use of MD5 and SHA1 detected,Data integrity risk,Upgrade to SHA256 and AES-256,Re-encrypt stored data and validate integrity,Open,2025-10-01,Crypto Logs,Crypto Policy,https://cryptoupgrade/docs/cs024,Decommission weak encryption libraries,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS025,Insufficient Logging,Security events not captured in logs,Cybersecurity,Monitoring Failure,Technology,Security Operations,LogFix Initiative,LF-2025,Execution,Monitoring,Security Operations Lead,IT Security Team,2025-09-24,3,3,9,Missing logs for critical events,Delayed incident detection,Implement centralized logging and log retention policy,Manual log review and escalation protocol,Open,2025-10-01,SIEM Logs,Log Aggregation Tools,https://logfix/docs/cs025,Test log coverage monthly,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS026,Privilege Creep,Users retain access beyond role needs,Cybersecurity,Identity & Access,Technology,HR & IT,AccessReview Campaign,AR-2025,Monitoring,Controlling,HR Manager,All Staff,2025-09-24,3,3,9,Access not revoked after role change,Excessive permissions detected,Conduct periodic access reviews and RBAC enforcement,Revoke unnecessary access and notify users,Open,2025-10-01,Access Logs,RBAC Policy,https://accessreview/docs/cs026,Automate access review workflows,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS027,Insecure DevOps Pipeline,Secrets exposed in CI/CD scripts,Cybersecurity,DevSecOps,Technology,Engineering,PipelineSecure Project,PS-2025,Execution,Monitoring,DevOps Lead,Engineering Team,2025-09-24,3,4,12,Hardcoded credentials in build scripts,Access to production via CI/CD,Use secret vaults and secure build environments,Rotate credentials and audit pipeline,Open,2025-10-01,Pipeline Logs,Secrets Management,https://pipelinesecure/docs/cs027,Scan CI/CD for secrets regularly,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS028,Unmonitored Cloud Assets,Orphaned cloud resources lack oversight,Cybersecurity,Cloud Security,Technology,Cloud Operations,CloudWatch Initiative,CW-2025,Monitoring,Monitoring,Cloud Operations Lead,IT Infrastructure,2025-09-24,3,3,9,Unused VMs and storage buckets detected,Cost and security exposure,Implement cloud asset inventory and tagging,Terminate orphaned assets and review billing,Open,2025-10-01,Cloud Logs,Cloud Inventory Tools,https://cloudwatch/docs/cs028,Tag assets during provisioning,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS029,Unvalidated Input,Web app vulnerable to injection attacks,Cybersecurity,Application Security,Technology,Web Development,InputGuard Program,IG-2025,Execution,Monitoring,App Security Lead,Web Users,2025-09-24,4,4,16,SQL injection detected in logs,User data exposed,Implement input validation and parameterized queries,Patch vulnerable endpoints and monitor logs,Open,2025-10-01,App Logs,Input Validation Policy,https://inputguard/docs/cs029,Use secure coding guidelines,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS030,Unsecured Backup,Backup files stored without encryption,Cybersecurity,Data Protection,Technology,IT Operations,BackupSecure Project,BS-2025,Monitoring,Controlling,Backup Manager,IT Infrastructure,2025-09-24,3,4,12,Backups stored in plain text,Data recovery risk,Encrypt backups and restrict access,Re-encrypt and rotate backup keys,Open,2025-10-01,Backup Logs,Encryption Policy,https://backupsecure/docs/cs030,Audit backup storage monthly,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS031,Uncontrolled Admin Access,Multiple users share admin credentials,Cybersecurity,Identity & Access,Technology,IT Operations,AdminGuard Program,AG-2025,Execution,Controlling,Security Analyst,Admin Team,2025-09-24,3,4,12,Shared credentials detected in logs,No accountability for actions,Enforce unique credentials and access logging,Reset credentials and notify users,Open,2025-10-01,Access Logs,Credential Policy,https://adminguard/docs/cs031,Audit admin access quarterly,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS032,Unrestricted File Upload,Web app allows executable uploads,Cybersecurity,Application Security,Technology,Web Development,UploadShield Project,US-2025,Execution,Monitoring,App Security Lead,Web Users,2025-09-24,4,4,16,Executable files uploaded to server,Remote code execution risk,Implement file type validation and sandboxing,Quarantine uploads and alert security team,Open,2025-10-01,Upload Logs,File Validation Policy,https://uploadshield/docs/cs032,Restrict upload types and scan files,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS033,Unsecured Dev Environment,Test systems lack access controls,Cybersecurity,DevSecOps,Technology,Engineering,DevSecure Program,DS-2025,Design,Monitoring,DevOps Lead,Engineering Team,2025-09-24,3,3,9,Test environment exposed to internet,Sensitive data used in testing,Restrict access and mask test data,Isolate dev systems and monitor traffic,Open,2025-10-01,Dev Logs,Access Control Policy,https://devsecure/docs/cs033,Use synthetic data in testing,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS034,Untracked Changes,Unauthorized config changes in production,Cybersecurity,Change Management,Technology,IT Operations,ConfigGuard Project,CG-2025,Execution,Controlling,IT Operations Lead,Infrastructure Team,2025-09-24,3,4,12,Changes made outside change window,System instability reported,Implement change tracking and approval workflows,Rollback changes and notify stakeholders,Open,2025-10-01,Change Logs,Change Control Policy,https://configguard/docs/cs034,Enforce change freeze periods,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS035,Unsecured DNS,DNS records vulnerable to hijacking,Cybersecurity,Network Security,Technology,Network Engineering,DNSProtect Program,DP-2025,Monitoring,Monitoring,Network Engineer,External Clients,2025-09-24,3,4,12,No DNSSEC enabled,Domain spoofing risk,Enable DNSSEC and monitor DNS changes,Reconfigure DNS and alert registrar,Open"
"CS036,Unsecured DNS,DNS records vulnerable to hijacking,Cybersecurity,Network Security,Technology,Network Engineering,DNSProtect Program,DP-2025,Monitoring,Monitoring,Network Engineer,External Clients,2025-09-24,3,4,12,No DNSSEC enabled,Domain spoofing risk,Enable DNSSEC and monitor DNS changes,Reconfigure DNS and alert registrar,Open,2025-10-01,DNS Logs,DNSSEC Policy,https://dnsprotect/docs/cs036,Enable registrar-level DNS monitoring,External Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS037,Unsecured Messaging,Chat apps lack encryption and access controls,Cybersecurity,Communication Security,Technology,IT Support,MessageGuard Initiative,MG-2025,Execution,Monitoring,IT Support Lead,All Staff,2025-09-24,3,3,9,Messages intercepted during transit,Exposure of internal discussions,Enforce end-to-end encryption and access policies,Disable insecure apps and notify users,Open,2025-10-01,Messaging Logs,Encryption Policy,https://messageguard/docs/cs037,Restrict use of unapproved messaging tools,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS038,Unsecured Wi-Fi,Open wireless networks used for internal access,Cybersecurity,Network Security,Technology,Facilities,WiFiSecure Program,WS-2025,Execution,Monitoring,Facilities Manager,All Departments,2025-09-24,3,4,12,No WPA3 or MAC filtering enabled,Unauthorized access detected,Upgrade to WPA3 and restrict SSID broadcast,Disable open networks and rotate credentials,Open,2025-10-01,Wi-Fi Logs,Wireless Access Policy,https://wifisecure/docs/cs038,Audit wireless networks quarterly,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS039,Unsecured Containers,Container images lack vulnerability scanning,Cybersecurity,DevSecOps,Technology,Engineering,ContainerGuard Project,CG-2025,Execution,Monitoring,DevOps Lead,Engineering Team,2025-09-24,3,4,12,Unscanned containers deployed to production,Known CVEs present in base image,Integrate container scanning into CI/CD pipeline,Remove vulnerable containers and rebuild,Open,2025-10-01,Container Logs,Image Scanning Tools,https://containerguard/docs/cs039,Use trusted base images only,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS040,Unsecured Email Gateway,Spam and phishing bypass email filters,Cybersecurity,Email Security,Technology,IT Operations,MailShield Initiative,MS-2025,Execution,Monitoring,Security Analyst,All Staff,2025-09-24,4,4,16,Phishing emails reach inboxes,Click-through rate: 9%,Upgrade email gateway and enable DMARC/DKIM,Quarantine suspicious emails and alert users,Open,2025-10-01,Email Logs,Email Filtering Policy,https://mailshield/docs/cs040,Test email filters monthly,External Threat Feed,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS041,Unsecured SFTP,Files transferred without encryption or authentication,Cybersecurity,Data Protection,Technology,IT Operations,FileSecure Project,FS-2025,Execution,Monitoring,IT Operations Lead,Finance Team,2025-09-24,3,4,12,Sensitive financial data exposed during transfer,No SFTP or TLS used,Enforce encrypted file transfer protocols,Switch to secure SFTP and rotate credentials,Open,2025-10-01,Transfer Logs,SFTP Policy,https://filesecure/docs/cs041,Audit file transfer methods quarterly,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS042,Unsecured CRM,Customer data accessible without role restrictions,Cybersecurity,Application Security,Technology,Sales,CRMGuard Program,CG-2025,Execution,Controlling,Sales Ops Lead,Sales Team,2025-09-24,3,4,12,All users have access to full customer profiles,PII exposure risk,Implement RBAC and field-level encryption,Restrict access and notify compliance,Open,2025-10-01,CRM Logs,Access Control Policy,https://crmguard/docs/cs042,Review CRM permissions monthly,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS043,Unsecured Git Repo,Code repository exposed to public,Cybersecurity,DevSecOps,Technology,Engineering,CodeVault Initiative,CV-2025,Execution,Monitoring,DevOps Lead,Engineering Team,2025-09-24,4,4,16,Private repo mistakenly made public,Secrets and IP exposed,Enforce repo access policies and secret scanning,Revoke public access and rotate secrets,Open,2025-10-01,Repo Logs,Repo Access Policy,https://codevault/docs/cs043,Scan repos for exposed secrets weekly,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS044,Unsecured Analytics Platform,BI dashboards lack access controls,Cybersecurity,Data Protection,Technology,Analytics,InsightSecure Program,IS-2025,Execution,Controlling,Analytics Lead,All Departments,2025-09-24,3,4,12,Sensitive metrics visible to all users,Exposure of financial forecasts,Implement dashboard-level permissions,Restrict access and notify data owners,Open,2025-10-01,BI Logs,Access Control Policy,https://insightsecure/docs/cs044,Segment dashboards by role,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS045,Unsecured Dev Tokens,API tokens stored in plaintext,Cybersecurity,DevSecOps,Technology,Engineering,TokenGuard Project,TG-2025,Execution,Monitoring,DevOps Lead,Engineering Team,2025-09-24,4,4,16,Tokens found in source code,Unauthorized API access risk,Use secret vaults and token rotation,Revoke tokens and audit usage,Open,2025-10-01,Token Logs,Secrets Management Policy,https://tokenguard/docs/cs045,Scan codebase for secrets monthly,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS046,Unsecured HR Portal,Employee records accessible without authentication,Cybersecurity,Application Security,Technology,HR,HRShield Program,HS-2025,Execution,Controlling,HR Manager,All Staff,2025-09-24,3,4,12,No login required for sensitive HR pages,Exposure of personal data,Implement authentication and session controls,Restrict access and notify HR,Open,2025-10-01,HR Logs,Access Control Policy,https://hrshield/docs/cs046,Audit HR portal access quarterly,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS047,Unsecured Payment Gateway,Payment data transmitted without encryption,Cybersecurity,Data Protection,Technology,Finance,PaySecure Initiative,PS-2025,Execution,Monitoring,Finance Lead,External Clients,2025-09-24,4,5,20,Cardholder data exposed via HTTP,PCI-DSS violation risk,Enforce TLS and tokenization,Switch to secure gateway and notify clients,Open,2025-10-01,Payment Logs,Encryption Policy,https://paysecure/docs/cs047,Conduct PCI-DSS audit quarterly,External Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS048,Unsecured Chatbot,AI assistant leaks internal data,Cybersecurity,AI Security,Technology,Customer Support,ChatGuard Program,CG-2025,Execution,Monitoring,AI Product Manager,Support Team,2025-09-24,3,4,12,Chatbot responses include internal URLs,Data leakage via NLP model,Implement content filtering and response validation,Disable bot and retrain model,Open,2025-10-01,Chat Logs,AI Response Policy,https://chatguard/docs/cs048,Restrict bot access to internal sources,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS049,Unsecured Remote Desktop,RDP exposed to internet without MFA,Cybersecurity,Endpoint Protection,Technology,IT Operations,RemoteSecure Project,RS-2025,Execution,Monitoring,IT Operations Lead,Remote Workforce,2025-09-24,4,4,16,RDP port open and brute force attempts detected,Unauthorized access risk,Restrict RDP access and enforce MFA,Disable exposed endpoints and rotate credentials,Open,2025-10-01,RDP Logs,MFA Policy,https://remotesecure/docs/cs049,Audit remote access monthly,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS050,Unsecured Dev Notebook,Jupyter notebooks contain credentials,Cybersecurity,DevSecOps,Technology,Data Science,NotebookGuard Program,NG-2025,Execution,Monitoring,Data Science Lead,Analytics Team,2025-09-24,3,4,12,Secrets stored in notebook cells,Unauthorized access to data sources,Use environment variables and secret vaults,Remove credentials and rotate keys,Open,2025-10-01,Notebook Logs,Secrets Management Policy,https://notebookguard/docs/cs050,Train data scientists on secure coding,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS051,Unsecured Dev Container,Container runs with root privileges,Cybersecurity,DevSecOps,Technology,Engineering,RootGuard Project,RG-2025,Execution,Monitoring,DevOps Lead,Engineering Team,2025-09-24,3,4,12,Root access detected in container logs,Privilege escalation risk,Enforce non-root container policies,Rebuild container with least privilege,Open,2025-10-01,Container Logs,Container Policy,https://rootguard/docs/cs051,Scan container configs weekly,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS052,Unsecured Cloud Function,Serverless function lacks authentication,Cybersecurity,Cloud Security,Technology,Cloud Engineering,FunctionSecure Program,FS-2025,Execution,Monitoring,Cloud Engineer,Dev Team,2025-09-24,3,4,12,Function triggered without auth token,Unauthorized execution risk,Enforce IAM and API gateway controls,Disable function and rotate keys,Open,2025-10-01,Function Logs,Serverless Policy,https://functionsecure/docs/cs052,Audit serverless endpoints monthly,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
